股票代码,完整代码,股票简称,交易所,板块,行业,地区,2024-02-06最低价,2024-09-24最低价,2025-04-09最低价,2026-03-24最低价,第一段抬升,第二段抬升,第三段抬升,累计抬升,是否ST
688585,688585.SH,上纬新材,上交所,科创板,化工原料,上海,4.46,5.11,5.86,113.99,14.57%,14.68%,1845.22%,2455.83%,否
300476,300476.SZ,胜宏科技,深交所,创业板,元器件,广东,14.56,27.28,59.0,259.18,87.36%,116.28%,339.29%,1680.08%,否
688183,688183.SH,生益电子,上交所,科创板,元器件,广东,5.58,17.06,19.59,81.3,205.73%,14.83%,315.01%,1356.99%,否
688195,688195.SH,腾景科技,上交所,科创板,元器件,福建,16.33,21.34,29.11,237.9,30.68%,36.41%,717.24%,1356.83%,否
301377,301377.SZ,鼎泰高科,深交所,创业板,机械基件,广东,11.81,15.03,19.44,167.01,27.27%,29.34%,759.10%,1314.14%,否
688498,688498.SH,源杰科技,上交所,科创板,半导体,陕西,80.51,87.1,88.1,1002.0,8.19%,1.15%,1037.34%,1144.57%,否
603929,603929.SH,亚翔集成,上交所,主板,装修装饰,江苏,13.91,20.39,26.68,171.11,46.59%,30.85%,541.34%,1130.12%,否
603256,603256.SH,宏和科技,上交所,主板,玻璃,上海,4.91,6.45,6.63,59.68,31.36%,2.79%,800.15%,1115.48%,否
603516,603516.SH,淳中科技,上交所,主板,IT设备,北京,11.37,24.36,31.95,133.66,114.25%,31.16%,318.34%,1075.55%,否
688519,688519.SH,南亚新材,上交所,科创板,元器件,上海,11.41,17.2,25.01,132.0,50.74%,45.41%,427.79%,1056.88%,否
688313,688313.SH,仕佳光子,上交所,科创板,通信设备,河南,6.8,8.35,12.8,76.5,22.79%,53.29%,497.66%,1025.00%,否
301396,301396.SZ,宏景科技,深交所,创业板,软件服务,广东,13.8,18.4,66.5,145.0,33.33%,261.41%,118.05%,950.72%,否
600113,600113.SH,浙江东日,上交所,主板,区域地产,浙江,5.14,7.84,12.54,52.44,52.53%,59.95%,318.18%,920.23%,否
300139,300139.SZ,晓程科技,深交所,创业板,黄金,北京,5.51,12.49,13.0,54.4,126.68%,4.08%,318.46%,887.30%,否
601869,601869.SH,长飞光纤,上交所,主板,通信设备,湖北,21.66,22.43,28.07,212.79,3.55%,25.14%,658.07%,882.41%,否
688256,688256.SH,寒武纪,上交所,科创板,半导体,北京,101.0,210.5,550.0,970.02,108.42%,161.28%,76.37%,860.42%,否
002384,002384.SZ,东山精密,深交所,主板,元器件,江苏,11.32,19.27,21.62,101.74,70.23%,12.20%,370.58%,798.76%,否
300469,300469.SZ,信息发展,深交所,创业板,软件服务,浙江,6.63,14.47,24.26,58.88,118.25%,67.66%,142.70%,788.08%,否
001267,001267.SZ,汇绿生态,深交所,主板,通信设备,湖北,4.17,4.81,7.1,36.91,15.35%,47.61%,419.86%,785.13%,否
301338,301338.SZ,凯格精机,深交所,创业板,专用机械,广东,18.43,24.42,26.42,160.69,32.50%,8.19%,508.21%,771.89%,否
688125,688125.SH,安达智能,上交所,科创板,专用机械,广东,24.12,24.78,28.14,210.0,2.74%,13.56%,646.27%,770.65%,否
300870,300870.SZ,欧陆通,深交所,创业板,电气设备,深圳,26.35,38.12,80.0,227.88,44.67%,109.86%,184.85%,764.82%,否
300757,300757.SZ,罗博特科,深交所,创业板,专用机械,江苏,39.63,78.88,122.64,328.5,99.04%,55.48%,167.86%,728.92%,否
688027,688027.SH,国盾量子,上交所,科创板,通信设备,安徽,72.16,153.54,228.0,580.08,112.78%,48.50%,154.42%,703.88%,否
688525,688525.SH,佰维存储,上交所,科创板,半导体,深圳,26.83,40.13,52.0,212.97,49.57%,29.58%,309.56%,693.78%,否
300548,300548.SZ,长芯博创,深交所,创业板,通信设备,浙江,17.1,17.19,26.54,135.27,0.53%,54.39%,409.68%,691.05%,否
300209,300209.SZ,行云科技,深交所,创业板,互联网,湖南,1.32,3.73,3.89,10.02,182.58%,4.29%,157.58%,659.09%,否
002565,002565.SZ,顺灏股份,深交所,主板,造纸,上海,2.17,2.5,2.68,16.32,15.21%,7.20%,508.96%,652.07%,否
002290,002290.SZ,禾盛新材,深交所,主板,家用电器,江苏,7.53,10.72,18.85,55.1,42.36%,75.84%,192.31%,631.74%,否
