序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
1,688835,高凯技术,1.82,510607472.01,20.6612741339,-42.3975,132717772.93,33.0365628847,-56.5162,9.791685806168,22.39,1.729598325206,58.5400929883,,2026-08-06
2,688121,*ST卓然,-0.83,1848999424.43,-38.0830639352,-52.571,-188323140.35,-287.04,-514.6913,9.780066647204,-7.62,-1.659980030221,12.7946234879,专用设备,2026-08-06
3,301717,超纯应材,2.44,495738691.25,92.9860143717,,184747279.6,122.7154281289,,11.182005749456,25.3,2.165742796373,59.1854451223,半导体,2026-08-06
4,301688,格林生物,1.79,1074915761.58,11.902752215,-7.0085,178959071.13,18.9517501793,-27.1635,7.4868328076,27.22,1.5852034789,31.7608028259,,2026-08-06
5,000637,茂化实华,-0.27,3107993736.34,-17.2292210084,-2.3168,-141682789.73,-69.92,-333.1159,0.970662210982,-24.66,-0.153081726324,1.6288023093,炼化及贸易,2026-08-06
6,875128,隆胜四海,0.73,308112457.24,4.6041221189,,45276145.84,31.7258225503,,5.449919571383,14.85,0.193714182983,30.839510707,,2026-08-05
7,874774,里得科技,1.05,432836159.74,9.0512233316,145.9145,66910838.77,0.16,645.1259,11.19,9.68,1.009510521924,42.0349992776,,2026-08-05
8,874709,华大海天,1.27,598735392.07,11.4994551968,49.0986,69881082.1,13.0866244446,53.2518,10.14,13.37,-0.357067429455,22.5604012723,,2026-08-05
9,836388,力姆泰克,0.4,115090589.58,-0.6637673481,,13091780.46,-3.05,,5.669868351539,7.16,0.309761832529,38.0821077552,,2026-08-05
10,001235,里得电科,1.05,432836159.74,9.0512233316,145.9145,66910838.77,0.16,645.1259,11.19,9.68,1.009510521924,42.0349992776,,2026-08-05
11,874997,创始医疗,0.24,231437016.22,-2.4318290529,,18398870.84,40.4514845926,,1.698274636318,12.97,0.49700377617,32.9424311613,,2026-08-04
12,874573,信胜科技,2.12,1482629694.36,43.9463648323,12.9948,222739929.98,86.1349686885,16.1084,6.19,41.4,3.177138940952,28.0503166099,,2026-08-04
13,874070,天广实,-2.15,128389591.47,887.0285847417,-34.929,-161748556.94,35.7576156447,77.814,2.273636049625,-66.61,-0.374870962417,49.9548350187,,2026-08-04
14,920107,恒兴股份,1.77,814329511.77,-7.3611577833,2.0305,111120922.22,-2.0491942843,31.4526,10.88,17.57,2.667766037673,35.4635400125,化学制品,2026-08-03
15,874627,恒兴股份,1.77,814329511.77,-7.3611577833,2.0305,111120922.22,-2.0491942843,31.4526,10.88,17.57,2.667766037673,35.4635400125,,2026-08-03
16,600641,先导基电,-0.139,1851821799.65,218.4965818848,111.8569,-126596479.84,-217.72,-556.1456,8.747917551232,-1.55,-4.438666949479,19.7228701654,半导体,2026-08-01
17,874865,森峰激光,1.72,1466891308.29,13.1602097148,21.6023,97935906.03,-3.0315270143,163.5923,9.606756362632,18.32,1.404377491404,31.1206353307,,2026-07-31
18,874763,富兰光学,1.1,438007088.89,6.8078771804,,55218041.92,-22.4894307643,,11.44820036369,10.08,2.258393054563,34.578061945,,2026-07-31
19,874617,双英集团,1.14,3743452776.85,45.1148259067,32.3039,130524220.1,33.9463892342,565.0603,6.74,18.52,1.274997325377,14.0163775415,,2026-07-31
20,688836,宇树科技,0.76,1699269304.88,332.6365206716,35.7373,278210460.61,191.3970401137,25.8621,7.155303200387,13.52,1.840518673359,60.4382279878,自动化设备,2026-07-31
