序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
1,688121,*ST卓然,-0.19,130298708.5,-22.6204339025,-54.1377,-43634145.58,-423.9981278748,82.3969,9.617904318475,-1.93,-1.000163856102,15.7969842042,专用设备,2026-08-06
2,000637,茂化实华,-0.05,833736445.5,5.8213641682,3.6499,-28251396.94,19.44,41.0843,0.920569070348,-5.73,0.099292496815,3.3452756816,炼化及贸易,2026-08-06
3,688836,宇树科技,0.14,422840542.29,68.4900864552,-20.4857,50013826.62,-47.69,-71.07,7.294518937263,1.9,0.094499865592,58.4216727498,自动化设备,2026-07-31
4,301655,绿控传动,0.15,1013907266.14,100.2434123029,,58663991.34,87.62,,2.505887823156,6.26,-0.759299670692,15.860396057,汽车零部件,2026-07-31
5,688826,频准激光,0.93,101133631.37,55.205164551,,27940994.04,33.5,,17.018483398,5.64,0.048640681,69.2143032755,光学光电子,2026-07-30
6,874790,科州药物,-0.7,7240068.28,-48.3648624483,,-33477788.86,78.8985492423,,3.760354703546,-17.22,-0.39185970507,94.9595382821,,2026-07-27
7,688828,国仪公司,-0.2,52671993.59,-2.9890426501,,-71412321.7,-64.95,,1.906275098389,-9.96,-0.261298290833,31.3609460439,通用设备,2026-07-23
8,301717,超纯应材,0.82,146997734.78,62.3914797422,,62411891.68,58.85,,12.007489012022,7.05,1.022827518735,56.9031268918,半导体,2026-07-23
9,874746,前景无忧,0.1,91225613.76,-29.0962703892,-67.2595,10512016.63,-46.4623087024,-76.2589,4.668264054352,2.11,0.52386888463,35.3598495099,,2026-07-20
10,002330,得利斯,0.014,780289533.59,4.6364895237,3.4253,9179328.96,-5.93,158.4442,3.618861298411,0.4,-0.062882525541,11.7016880747,食品加工,2026-07-18
11,301707,展芯股份,0.13,130304555.34,12.9756413402,,49646701.65,72.1123423513,,3.946935249995,3.46,0.19684033215,82.6072062248,半导体,2026-07-17
12,603468,津富士达,0.224,1360993936.18,12.7416601486,,83084510.46,-9.4802829619,,7.725787077959,,-0.180615488298,12.7295934585,摩托车及其他,2026-07-16
13,001232,嘉立创,0.75,3028998779.41,45.2877622074,,376491009.19,51.71,,15.13743738642,5.11,0.96094041164,27.3332081735,元件,2026-07-16
14,874320,恒基金属,0.43,266645849.48,-14.09789827,,24867073.04,-24.3805702723,,14.321556739487,3.01,-0.017654012308,24.5377880802,,2026-07-15
15,874800,玄机科技,0.66,99943394.52,7.3203385353,6.5684,34153305.49,37.6939901854,17.0147,11.822315728388,5.78,0.570095108316,57.3501782137,,2026-07-10
16,301677,欣兴工具,0.63,125792609.34,6.7814939347,,47315677.28,4.250446952,,18.6105952892,3.45,0.219180455467,53.8819724033,通用设备,2026-07-10
17,688825,长鑫科技,0.4114,50800145545.85,719.1338353865,70.9542,24762031466.04,1688.2994641797,246.0881,1.357710761979,35.76,0.707160901804,79.1575472751,半导体,2026-07-09
18,874798,环能涡轮,0.43,129173051.15,0.1152461404,-14.6692,28226353.19,-46.744606711,-29.6139,14.401193070303,3.02,0.373961929545,37.9801013394,,2026-07-08
19,834948,晨泰科技,0.25,209474809.16,75.9248103641,3.063,32610816.33,64.2327493808,16.0733,5.550960263913,4.69,-0.239660473204,30.7480205559,,2026-07-07
20,874571,宇特光电,0.21,76829852.77,2.2980648006,,11009998.05,4.5632956491,,6.603154175472,3.2,0.148026124717,31.4871667559,,2026-07-02
