序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,920943,优机股份,17.65,21.14,3.08,37339.0,61392897.03,25.19,18.0,14.33,14.51,14.57,12.18,7.21,-56.55,2.84,1791852322.0,914408252.0,1.15,-0.84,-0.17,-32.76
2,920748,路桥信息,27.9,14.58,3.55,24099.0,65624783.7,21.19,29.07,23.91,23.96,24.35,11.65,6.54,-88.29,10.34,2141046000.0,1027725349.0,-0.21,-0.92,-22.67,-40.05
3,920505,九菱科技,32.39,12.43,3.58,22426.0,68048738.36,15.17,32.74,28.37,28.66,28.81,17.09,6.23,129.64,6.29,2098401211.0,1166393893.0,3.48,7.29,-23.32,-25.16
4,920061,西磁科技,19.58,9.57,1.71,18488.0,34060604.22,12.31,19.82,17.62,17.8,17.87,11.65,4.7,273.67,5.03,1386068200.0,770754952.0,5.55,9.08,-29.59,-30.39
5,920136,永励精密,23.0,7.48,1.6,40471.0,93075574.35,14.07,24.44,21.43,22.0,21.4,14.66,19.27,19.77,1.62,1840000000.0,483000000.0,-0.04,-1.46,19.29,19.29
6,920651,天罡股份,24.16,7.38,1.66,6635.0,15777932.74,7.47,24.48,22.8,22.83,22.5,4.08,1.6,33.7,2.9,1473760000.0,1001851732.0,-0.12,-0.33,-9.17,-43.29
7,920078,族兴新材,21.36,6.53,1.31,14495.0,30193514.43,6.23,21.4,20.15,20.4,20.05,6.61,3.72,67.48,2.62,2563200000.0,832779408.0,0.99,0.99,-37.47,210.47
8,920807,奔朗新材,9.97,5.73,0.54,31285.0,30287106.67,7.95,10.08,9.33,9.42,9.43,8.85,2.53,-193.83,1.98,1813343600.0,1231802692.0,1.94,3.64,-16.92,-31.05
9,920238,长鹰硬科,81.43,5.63,4.34,22731.0,182580486.04,10.14,83.83,76.01,77.0,77.09,2.99,11.71,11.61,6.31,7755251268.0,1580307206.0,0.05,-0.33,331.07,331.07
10,920701,豪声电子,14.12,5.53,0.74,10969.0,14848096.14,8.37,14.12,13.0,13.23,13.38,2.69,1.09,176.28,2.42,1937264000.0,1414926229.0,4.21,4.52,-6.49,-21.07
11,920116,星图测控,51.74,5.53,2.71,17655.0,89274839.56,8.36,52.43,48.33,48.33,49.03,6.11,0.79,204.92,19.93,11573461900.0,11573461900.0,-0.23,-0.31,-32.52,-14.15
12,920438,戈碧迦,127.5,5.37,6.5,19828.0,241877490.15,8.72,127.55,117.0,118.0,121.0,3.05,1.42,399.76,19.0,18418777500.0,17772741375.0,1.25,2.84,72.32,218.35
13,920026,卓兆点胶,19.02,5.37,0.97,7511.0,14001323.77,6.2,19.02,17.9,18.08,18.05,7.12,0.87,131.75,3.56,2185552899.0,1647553046.0,1.71,1.71,-24.88,-24.34
14,920033,康普化学,14.68,4.41,0.62,12555.0,18514380.54,4.69,14.98,14.32,14.45,14.06,13.07,1.52,16.81,2.29,1748905470.0,1215977503.0,0.55,0.69,-17.44,-17.67
15,920856,浩淼科技,11.38,4.4,0.48,21536.0,24790653.66,13.58,12.27,10.79,10.79,10.9,6.81,4.06,-82.58,2.38,1082541027.0,603823221.0,0.09,-0.35,-5.95,-31.4
16,920663,明阳科技,12.98,4.17,0.52,7835.0,10235421.66,7.38,13.42,12.5,12.65,12.46,11.42,1.22,19.72,4.53,1733511580.0,831713230.0,0.54,0.62,-22.88,-27.04
17,920174,五新智能,28.96,4.1,1.14,10522.0,30451236.34,6.76,29.54,27.66,27.86,27.82,9.76,1.89,26.72,2.41,6281565643.0,1615783525.0,-0.03,0.1,-30.4,-39.72
18,920961,创远信科,19.27,4.05,0.75,15117.0,28814057.16,6.16,19.38,18.24,18.5,18.52,5.66,1.45,-77.8,3.68,2752536589.0,2003123245.0,-0.16,0.63,-6.09,-31.98
19,920027,交大铁发,11.84,4.04,0.46,8809.0,10332021.14,5.1,11.96,11.38,11.39,11.38,6.72,1.22,53.01,2.7,1219100272.0,853059272.0,0.0,-0.25,-16.91,-27.5
20,920885,星辰科技,12.63,3.87,0.47,10443.0,12940836.44,5.43,12.68,12.02,12.1,12.16,3.84,1.18,912.11,5.37,2157455337.0,1117795365.0,0.56,2.35,-32.85,-46.03
21,920106,林泰新材,38.14,3.59,1.32,4251.0,16117975.05,6.36,38.88,36.54,36.8,36.82,5.43,0.97,23.28,3.77,2158476090.0,1665264027.0,-0.37,0.26,-30.96,-51.17
22,920218,新天力,17.88,3.29,0.57,9397.0,16725513.14,4.97,18.07,17.21,17.27,17.31,4.71,4.46,27.65,1.95,1674841771.0,376842975.0,0.22,-0.22,46.68,46.68
23,920580,科创新材,11.35,3.18,0.35,24129.0,28340855.78,11.0,12.39,11.18,11.18,11.0,9.21,4.41,46.63,2.86,976100000.0,621560890.0,-0.44,-1.13,-21.29,-23.16
24,920575,*ST康乐,5.52,2.99,0.16,75641.0,43077793.45,7.46,5.9,5.5,5.57,5.36,3.69,4.03,-7.64,-21.41,1550788800.0,1036869514.0,0.0,-1.43,18.71,-33.25
25,920871,派特尔,11.21,2.94,0.32,7817.0,8765267.82,5.88,11.45,10.81,10.81,10.89,15.17,1.66,55.26,3.78,951249672.0,527027938.0,0.0,0.09,-14.36,-25.27
26,920262,太湖雪,14.32,2.51,0.35,18588.0,27450083.51,7.59,15.3,14.24,15.0,13.97,10.16,4.82,21.95,3.13,1187658155.0,552129066.0,-1.04,-0.56,-15.72,-29.28
27,920068,天工股份,15.51,2.51,0.38,10091.0,15456396.41,4.49,15.65,14.97,15.08,15.13,7.42,0.58,25547.08,7.96,10168356233.0,2693816180.0,-0.64,1.37,-20.75,-20.05
28,920117,龙鑫智能,36.05,2.5,0.88,53980.0,194300264.69,8.7,37.5,34.44,36.0,35.17,7.87,26.7,37.91,3.11,3238732433.0,728714808.0,-0.06,-0.55,102.19,102.19
29,920175,东方碳素,8.29,2.47,0.2,17903.0,14944904.17,6.67,8.56,8.02,8.09,8.09,9.24,2.26,-17.74,1.52,986510000.0,657196879.0,-0.12,0.24,-21.42,-26.77
30,920081,欧伦电气,41.99,2.44,1.0,9152.0,37938106.92,3.27,41.99,40.65,40.75,40.99,3.83,5.35,12.71,1.91,3048474000.0,718029000.0,0.45,0.45,8.53,8.53
31,920971,天马新材,27.02,2.43,0.64,29532.0,80106279.46,7.05,27.86,26.0,26.17,26.38,6.04,3.45,132.99,6.22,2809215414.0,2315689710.0,0.04,0.22,-16.42,-11.41
32,920019,铜冠矿建,15.03,2.38,0.35,20564.0,31396359.38,3.75,15.56,15.01,15.07,14.68,9.99,1.23,47.29,3.46,3160308501.0,2518061060.0,-0.33,-0.07,-18.84,-27.95
33,920179,凯德石英,54.7,2.34,1.25,14359.0,77586135.34,5.43,55.0,52.1,52.88,53.45,3.42,2.4,210.45,5.45,4072790133.0,3266600528.0,1.09,0.5,-7.48,42.0
34,920077,吉林碳谷,14.5,2.33,0.33,21509.0,31213520.34,3.25,14.65,14.19,14.3,14.17,5.46,0.71,51.61,3.25,8500477869.0,4377716837.0,-0.21,-0.21,-23.28,-14.3
35,920576,天力复合,46.67,2.32,1.06,11574.0,53088551.49,5.7,46.88,44.28,44.56,45.61,3.52,1.07,836.26,11.65,5084696500.0,5034300087.0,0.71,1.66,-37.28,-33.82
36,920942,恒立钻具,17.88,2.29,0.4,6490.0,11549534.17,4.41,18.15,17.38,17.58,17.48,4.84,1.57,55.3,2.21,1093623048.0,740500450.0,-0.06,-0.17,-30.56,-41.51
37,920122,中纺标,23.04,2.13,0.48,8538.0,19861846.89,4.83,23.87,22.78,23.0,22.56,8.46,2.28,511.69,6.4,2125258168.0,861123180.0,-0.04,-0.82,-13.35,-31.06
38,920981,晶赛科技,30.76,2.06,0.62,12304.0,37456470.23,3.72,30.9,29.78,29.98,30.14,4.42,3.2,147.86,4.59,2352155680.0,1183112560.0,1.48,1.42,-24.79,-3.75
39,920038,森合高科,49.29,2.03,0.98,81725.0,413833753.52,5.96,51.88,49.0,50.88,48.31,3.31,23.92,21.07,3.77,5151061357.0,1684046132.0,-1.93,-1.95,69.61,69.61
40,920751,惠同新材,17.47,1.87,0.32,4632.0,8135410.81,3.73,17.85,17.21,17.4,17.15,5.81,0.56,32.4,3.79,1516046600.0,1451182674.0,0.46,0.58,-31.06,-15.69
41,920028,新恒泰,14.39,1.77,0.25,4010.0,5714093.38,3.61,14.44,13.93,14.12,14.14,3.14,0.62,26.77,2.09,2365140400.0,934768644.0,0.42,0.07,-35.33,53.09
42,920160,北矿检测,19.65,1.6,0.31,3097.0,6104240.43,1.29,19.81,19.56,19.56,19.34,9.16,1.22,21.1,4.19,2225952000.0,500839200.0,-0.3,-0.51,-18.16,-23.15
43,920191,瑞尔竞达,9.0,1.58,0.14,7127.0,6409523.51,3.72,9.15,8.82,8.82,8.86,5.68,1.79,18.75,1.57,1596558600.0,359235000.0,-0.22,-0.44,-32.13,16.73
44,920206,彩客科技,35.73,1.56,0.55,4048.0,14460469.85,6.25,36.7,34.5,34.76,35.18,3.06,1.47,17.47,3.07,2556346691.0,983471930.0,-0.22,-0.72,18.0,18.0
45,920090,*ST同辉,3.69,1.37,0.05,10161.0,3726905.19,3.85,3.74,3.6,3.6,3.64,1.76,0.68,-29.78,19.16,735540785.0,549562006.0,0.27,-0.27,-29.98,-41.89
46,920274,宏裕包材,15.49,1.31,0.2,6765.0,10535264.58,3.01,15.81,15.35,15.6,15.29,4.33,0.83,32.52,2.58,1259853344.0,1259853344.0,-0.26,-0.32,-38.68,-45.86
47,920974,凯大催化,6.17,1.31,0.08,7998.0,4950290.13,2.3,6.25,6.11,6.14,6.09,5.74,0.62,19.25,1.55,1010646000.0,792547569.0,-0.32,-0.64,-21.5,-21.8
48,920029,开发科技,34.85,1.25,0.43,3175.0,11029628.66,1.86,35.02,34.38,34.44,34.42,2.01,0.16,33.74,2.03,7211898485.0,7017563559.0,-0.43,-0.03,-22.95,-42.36
49,920753,天纺标,15.5,1.24,0.19,5595.0,8692022.37,3.46,15.72,15.19,15.19,15.31,9.01,1.71,54.44,3.28,1261767704.0,506999575.0,-0.06,-0.19,-17.68,-29.83
50,920706,铁拓机械,14.79,1.23,0.18,5394.0,7927445.27,3.08,14.9,14.45,14.58,14.61,4.01,1.13,50.99,2.26,1399211574.0,705066957.0,0.34,0.0,-35.81,-40.48
51,920112,巴兰仕,16.48,1.23,0.2,776.0,1276739.16,1.54,16.53,16.28,16.4,16.28,1.76,0.22,17.72,2.14,1957659200.0,574323962.0,0.3,0.12,-30.26,-38.74
52,920126,永大股份,10.68,1.23,0.13,13963.0,14931672.74,3.79,10.85,10.45,10.48,10.55,4.5,3.13,13.98,1.75,1987334400.0,477054240.0,0.0,0.28,37.1,37.1
53,920634,新威凌,18.18,1.22,0.22,20540.0,38098963.75,7.63,19.37,18.0,18.21,17.96,9.68,5.07,125.83,4.05,1161861366.0,736794041.0,0.61,0.44,-12.76,-24.66
54,920978,开特股份,20.57,1.13,0.23,3725.0,7638395.43,3.24,20.71,20.05,20.33,20.34,2.17,0.37,28.29,4.76,3703185587.0,2076231880.0,-0.05,-0.29,-21.99,-43.92
55,920476,海能技术,22.73,1.11,0.25,4328.0,9783967.96,3.56,22.87,22.07,22.16,22.48,4.28,0.54,-1697.84,4.4,1936136854.0,1832719514.0,0.0,-0.04,17.77,10.45
56,920088,科力股份,45.87,1.06,0.48,19772.0,90939492.36,2.84,46.58,45.29,45.39,45.39,2.35,6.07,232.26,5.84,4039839705.0,1493812970.0,-0.09,-0.15,6.8,57.63
57,920799,艾融软件,32.05,1.04,0.33,17943.0,57518065.49,5.33,32.76,31.07,31.24,31.72,3.24,1.49,418.3,17.26,6703110070.0,3848240968.0,0.03,-0.31,-12.38,-32.67
58,920720,吉冈精密,9.67,1.04,0.1,6219.0,6025952.81,3.76,9.85,9.49,9.5,9.57,3.94,0.84,63.23,4.93,2561499258.0,715746063.0,0.1,-0.31,-23.44,-30.68
59,920022,世昌股份,19.44,0.99,0.19,749.0,1456370.06,2.18,19.57,19.15,19.23,19.25,3.42,0.45,17.96,2.87,1172640240.0,322995600.0,-0.1,-0.1,-28.42,-33.86
60,920509,同惠电子,20.57,0.98,0.2,6325.0,12935586.28,3.29,20.71,20.04,20.08,20.37,1.93,0.75,71.97,9.88,3297488167.0,1727581982.0,0.29,-0.63,-39.03,-44.84
61,920245,威博液压,13.0,0.93,0.12,3097.0,4053623.53,2.8,13.28,12.92,12.95,12.88,5.2,0.58,26.01,2.6,897951600.0,691526511.0,0.08,-0.31,-28.92,-34.93
62,920118,太湖远大,19.73,0.92,0.18,2918.0,5738797.26,1.69,19.8,19.47,19.47,19.55,2.44,0.93,22.6,1.78,1020258030.0,618320443.0,0.1,0.31,-11.96,-11.17
63,920640,富士达,27.63,0.91,0.25,7933.0,21711038.91,2.67,27.7,26.97,27.03,27.38,2.22,0.44,102.55,5.69,5186924640.0,4990483795.0,0.58,0.0,-26.87,-26.26
64,920177,恒道科技,25.4,0.87,0.22,1123.0,2844896.41,2.74,25.5,24.81,25.1,25.18,2.69,0.61,19.3,2.01,1328928000.0,470624052.0,0.0,-0.2,-29.68,16.51
65,920932,科达自控,12.77,0.87,0.11,13242.0,17025441.74,6.79,13.2,12.34,12.6,12.66,4.58,1.52,-61.64,2.23,1345323970.0,1113461966.0,-1.08,-0.39,-17.51,-40.71
66,920055,隆源股份,27.7,0.87,0.24,1593.0,4401030.22,2.11,27.88,27.3,27.4,27.46,2.93,1.04,13.42,1.59,1883600000.0,423810000.0,0.14,-0.14,-25.24,14.7
67,920220,朗信电气,43.66,0.85,0.37,2735.0,11857936.04,3.28,44.12,42.7,42.75,43.29,2.64,1.32,44.34,2.57,2890565399.0,905326643.0,-0.09,-0.11,54.33,54.33
68,920223,荣亿精密,11.8,0.77,0.09,7749.0,9110876.3,2.39,11.89,11.61,11.71,11.71,3.82,0.95,-114.47,7.78,1855963000.0,963767950.0,-0.08,-0.25,-33.78,-47.3
69,920719,宁新新材,7.96,0.76,0.06,7149.0,5704630.58,3.16,8.1,7.85,7.89,7.9,4.79,0.96,-4.15,6.69,741023464.0,591767590.0,-0.25,-0.25,-32.6,-38.29
70,920079,乔路铭,15.27,0.73,0.11,26352.0,40165535.79,3.5,15.48,14.95,15.12,15.16,2.45,5.86,16.37,2.59,6357059808.0,687150000.0,0.07,0.0,6.34,6.34
71,920065,千岸科技,40.88,0.71,0.29,13760.0,56443890.84,3.42,41.67,40.28,41.59,40.59,1.94,8.74,17.75,3.32,3689420000.0,643860000.0,0.0,-0.66,68.23,68.23
72,920159,农大科技,28.2,0.71,0.2,1353.0,3821396.33,1.64,28.5,28.04,28.2,28.0,1.9,0.94,11.94,2.04,2143200000.0,406080000.0,-0.18,-0.04,-30.7,16.53
73,920833,美心翼申,8.74,0.69,0.06,1497.0,1310980.47,1.73,8.82,8.67,8.67,8.68,1.63,0.17,73.2,1.65,1000764960.0,756489546.0,-0.23,-0.46,-21.61,-24.66
74,920083,金戈新材,34.09,0.68,0.23,5461.0,18480243.51,3.43,34.27,33.11,33.34,33.86,1.78,1.44,54.23,4.77,3043196369.0,1296211638.0,0.26,0.68,253.26,253.26
75,920169,七丰精工,18.94,0.64,0.12,6979.0,13246393.3,4.2,19.3,18.51,18.72,18.82,2.92,1.37,346.03,4.54,1530353705.0,962939639.0,-0.32,-0.37,-36.29,-39.59
76,920152,昆工科技,14.16,0.64,0.09,4007.0,5699623.81,4.05,14.45,13.88,14.14,14.07,3.93,0.49,-14.96,8.77,1559068392.0,1162563371.0,-0.28,-0.56,-27.31,-36.22
77,920564,天润科技,14.74,0.61,0.09,3803.0,5616164.85,1.91,14.88,14.6,14.74,14.65,2.77,0.77,-21.78,5.21,1576064845.0,725043443.0,-0.2,-0.81,-30.44,-22.09
78,920924,广脉科技,15.19,0.6,0.09,11769.0,17906560.33,4.83,15.57,14.84,14.84,15.1,3.72,1.8,102.53,5.08,1629833835.0,993002822.0,0.0,-0.72,-26.55,-27.36
79,920158,长江能科,8.45,0.6,0.05,9430.0,8061958.51,3.57,8.73,8.43,8.57,8.4,4.24,1.77,-150.53,3.31,1686721400.0,451189102.0,-0.12,-0.12,-31.74,-21.25
