序号,代码,名称,最新价,涨跌幅,换手率,市盈率,主力成本,机构参与度,综合得分,上升,目前排名,关注指数,交易日
1,000001,平安银行,11.13,-1.07,0.16,3.72,11.273114940303,0.4067216,68.43477633,-376,1460,90.0,2026-08-05
2,000002,万  科Ａ,3.23,-1.52,0.32,-1.62,3.260319497616,0.3838288,61.08702562,983,3536,78.4,2026-08-05
3,000006,深振业Ａ,6.75,-0.59,0.36,302.64,6.744030855448,0.3568772,60.65872382,94,3647,70.0,2026-08-05
4,000007,全新好,9.62,0.73,0.83,-383.85,9.535240033929,0.2616424,58.43825456,565,4211,64.0,2026-08-05
5,000008,神州高铁,2.43,0.41,0.34,-54.28,2.427291518845,0.258608727273,53.88760428,-24,4946,75.6,2026-08-05
6,000009,中国宝安,7.59,-0.65,0.64,280.26,7.682046766224,0.1965024,62.27016394,-435,3200,90.0,2026-08-05
7,000010,*ST美丽,1.56,-0.64,1.04,16.56,1.576961417092,0.3641236,55.41730047,-285,4760,67.6,2026-08-05
8,000011,深物业A,8.1,-0.37,0.54,-44.31,8.084115328467,0.124384,64.41140293,1796,2581,76.0,2026-08-05
9,000012,南  玻Ａ,3.89,-1.77,0.57,-30.0,3.931914367361,0.2484576,62.22268558,1073,3217,73.2,2026-08-05
10,000014,沙河股份,10.12,-0.1,0.63,-72.14,10.095378729916,0.1255212,53.91251073,-52,4940,74.8,2026-08-05
11,000016,*ST康佳A,2.62,0.0,0.32,-8.58,2.611947104543,0.3933196,67.14697101,2107,1770,72.4,2026-08-05
12,000017,深中华A,6.2,0.0,1.05,174.67,6.157201301411,0.2099828,72.63578543,1906,611,74.4,2026-08-05
13,000019,深粮控股,6.06,-0.49,0.27,26.89,6.074956270068,0.2044824,58.9714364,740,4094,70.4,2026-08-05
14,000020,深华发Ａ,10.96,0.37,0.54,149.12,10.889694375528,0.0798648,64.8016498,-975,2469,68.0,2026-08-05
15,000021,深科技,39.3,1.55,4.02,63.87,38.143388940095,0.3757296,71.60935342,66,791,88.4,2026-08-05
16,000025,特  力Ａ,15.27,-0.07,0.83,49.45,15.248752890328,0.2395104,70.03450408,-833,1066,84.8,2026-08-05
17,000026,飞亚达,17.48,2.34,0.88,27.25,16.722916911379,0.2291472,70.01461296,-67,1071,68.0,2026-08-05
18,000027,深圳能源,6.38,-0.93,0.16,6.07,6.451147923617,0.259198,61.82043859,-283,3332,75.6,2026-08-05
19,000028,国药一致,20.37,-1.12,0.23,10.85,20.634182129715,0.1643168,70.89519085,592,921,74.0,2026-08-05
20,000029,深深房Ａ,22.34,1.27,0.17,-1438.82,21.86919691934,0.2683588,68.0065667,142,1553,68.8,2026-08-05
21,000030,富奥股份,4.23,-1.4,0.17,14.59,4.290823091713,0.2200232,71.51138799,-135,810,68.8,2026-08-05
22,000031,大悦城,2.21,-1.34,0.24,-10.71,2.221341496233,0.2706964,61.14908226,1090,3516,69.2,2026-08-05
23,000032,深桑达Ａ,14.69,0.48,1.42,-54.16,14.497449820925,0.3214096,67.84311398,276,1586,84.0,2026-08-05
24,000034,神州数码,25.9,0.0,1.63,27.9,25.982341728682,0.3389372,72.7144191,-96,605,87.6,2026-08-05
25,000035,中国天楹,5.05,-2.32,1.1,27.23,5.17101606787,0.3253876,70.08118104,1687,1060,76.0,2026-08-05
26,000036,华联控股,4.18,0.0,0.39,56.34,4.143406506553,0.2399708,65.29420546,-497,2334,71.6,2026-08-05
27,000037,深南电A,10.01,-0.99,2.57,125.43,10.024863181286,0.24294,60.13344727,-687,3802,89.6,2026-08-05
28,000039,中集集团,8.61,-0.81,0.25,55.55,8.653482806848,0.2129232,58.37893072,-479,4225,77.6,2026-08-05
