code,individual_error,hist_date,hist_close,hist_change_pct,hist_turnover,hist_amount,individual_price,total_shares,float_shares,individual_market_cap,individual_float_market_cap,individual_industry,listing_date,hist_error
300476,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,249.39,5.52,4.36,9255279048.32,,,,,,,,
688183,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,108.86,1.24,0.63,568171879.0,,,,,,,,
603929,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,163.5,2.65,1.45,493961733.0,,,,,,,,
688313,,2026-08-06,115.52,0.79,2.19,1124989944.0,115.42,451986328.0,451986328.0,52168261977.76,52168261977.76,通信设备,20200812.0,
688519,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,264.86,5.04,1.51,913190798.0,,,,,,,,
301396,,2026-08-06,200.09,0.6,9.84,2764359457.97,200.09,214924565.0,141506795.0,43004256210.85,28314094611.55,IT服务Ⅱ,20221111.0,
301377,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,424.66,2.06,2.13,874973634.37,,,,,,,,
603256,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,145.17,5.11,1.72,2146308386.0,,,,,,,,
688585,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,163.02,2.02,0.49,314284479.0,,,,,,,,
300139,,2026-08-06,47.4,6.02,19.21,2133835307.47,47.42,274000000.0,233659225.0,12993080000.0,11080120449.5,贵金属,20101112.0,
601869,,2026-08-06,322.03,3.08,2.17,2788547541.0,322.0,827905108.0,406338314.0,266585444776.0,130840937108.0,通信设备,20180720.0,
688498,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
688195,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
603516,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
002384,,,,,,,188.0,1831607532.0,1386321723.0,344342216016.0,260628483924.0,元件,20100409.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
001267,,,,,,,36.99,785003428.0,608556558.0,29037276801.72,22510507080.420002,通信设备,20211117.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
