rank,code,name,industry,uplift_pct,individual_error,hist_date,hist_close,hist_change_pct,hist_turnover,hist_amount,individual_price,total_shares,float_shares,individual_market_cap,individual_float_market_cap,individual_industry,listing_date,hist_error,final_price,final_market_cap,final_float_market_cap
1,688585,上纬新材,化工原料,2455.83,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,163.02,2.02,0.49,314284479.0,,,,,,,,,163.02,,
2,300476,胜宏科技,元器件,1680.08,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,249.39,5.52,4.36,9255279048.32,,,,,,,,,249.39,,
3,688183,生益电子,元器件,1356.99,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,108.86,1.24,0.63,568171879.0,,,,,,,,,108.86,,
4,688195,腾景科技,元器件,1356.83,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,,
5,301377,鼎泰高科,机械基件,1314.14,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,424.66,2.06,2.13,874973634.37,,,,,,,,,424.66,,
6,688498,源杰科技,半导体,1144.57,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,,
7,603929,亚翔集成,装修装饰,1130.12,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,163.5,2.65,1.45,493961733.0,,,,,,,,,163.5,,
8,603256,宏和科技,玻璃,1115.48,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,145.17,5.11,1.72,2146308386.0,,,,,,,,,145.17,,
9,603516,淳中科技,IT设备,1075.55,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,,
10,688519,南亚新材,元器件,1056.88,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,264.86,5.04,1.51,913190798.0,,,,,,,,,264.86,,
11,688313,仕佳光子,通信设备,1025.0,,2026-08-06,115.52,0.79,2.19,1124989944.0,115.42,451986328.0,451986328.0,52168261977.76,52168261977.76,通信设备,20200812.0,,115.42,52168261977.76,52168261977.76
12,301396,宏景科技,软件服务,950.72,,2026-08-06,200.09,0.6,9.84,2764359457.97,200.09,214924565.0,141506795.0,43004256210.85,28314094611.55,IT服务Ⅱ,20221111.0,,200.09,43004256210.85,28314094611.55
13,600113,浙江东日,区域地产,920.23,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,,
14,300139,晓程科技,黄金,887.3,,2026-08-06,47.4,6.02,19.21,2133835307.47,47.42,274000000.0,233659225.0,12993080000.0,11080120449.5,贵金属,20101112.0,,47.42,12993080000.0,11080120449.5
15,601869,长飞光纤,通信设备,882.41,,2026-08-06,322.03,3.08,2.17,2788547541.0,322.0,827905108.0,406338314.0,266585444776.0,130840937108.0,通信设备,20180720.0,,322.0,266585444776.0,130840937108.0
16,688256,寒武纪,半导体,860.42,,,,,,,1144.2,628292969.0,628292969.0,718892815129.8,718892815129.8,半导体,20200720.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",1144.2,718892815129.8,718892815129.8
17,002384,东山精密,元器件,798.76,,,,,,,188.0,1831607532.0,1386321723.0,344342216016.0,260628483924.0,元件,20100409.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",188.0,344342216016.0,260628483924.0
18,300469,信息发展,软件服务,788.08,,,,,,,59.18,248238824.0,248113799.0,14690773604.32,14683374624.82,软件开发,20150611.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",59.18,14690773604.32,14683374624.82
19,001267,汇绿生态,通信设备,785.13,,,,,,,36.99,785003428.0,608556558.0,29037276801.72,22510507080.420002,通信设备,20211117.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",36.99,29037276801.72,22510507080.420002
20,301338,凯格精机,专用机械,771.89,,,,,,,92.5,148960000.0,108535000.0,13778800000.0,10039487500.0,专用设备,20220816.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",92.5,13778800000.0,10039487500.0
21,688125,安达智能,专用机械,770.65,,,,,,,120.2,82425456.0,82203546.0,9907539811.2,9880866229.2,自动化设备,20220415.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",120.2,9907539811.2,9880866229.2
22,300870,欧陆通,电气设备,764.82,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,,
