rank,code,name,industry,uplift_pct
1,688585,上纬新材,化工原料,2455.83
2,300476,胜宏科技,元器件,1680.08
3,688183,生益电子,元器件,1356.99
4,688195,腾景科技,元器件,1356.83
5,301377,鼎泰高科,机械基件,1314.14
6,688498,源杰科技,半导体,1144.57
7,603929,亚翔集成,装修装饰,1130.12
8,603256,宏和科技,玻璃,1115.48
9,603516,淳中科技,IT设备,1075.55
10,688519,南亚新材,元器件,1056.88
11,688313,仕佳光子,通信设备,1025.00
12,301396,宏景科技,软件服务,950.72
13,600113,浙江东日,区域地产,920.23
14,300139,晓程科技,黄金,887.30
15,601869,长飞光纤,通信设备,882.41
16,688256,寒武纪,半导体,860.42
17,002384,东山精密,元器件,798.76
18,300469,信息发展,软件服务,788.08
19,001267,汇绿生态,通信设备,785.13
20,301338,凯格精机,专用机械,771.89
21,688125,安达智能,专用机械,770.65
22,300870,欧陆通,电气设备,764.82
23,300757,罗博特科,专用机械,728.92
24,688027,国盾量子,通信设备,703.88
25,688525,佰维存储,半导体,693.78
26,300548,长芯博创,通信设备,691.05
27,300209,行云科技,互联网,659.09
28,002565,顺灏股份,造纸,652.07
29,002290,禾盛新材,家用电器,631.74
30,002796,世嘉科技,通信设备,631.44
31,301306,西测测试,航空,629.50
32,301209,联合化学,染料涂料,629.45
33,600105,永鼎股份,通信设备,628.40
34,688028,沃尔德,机械基件,621.86
35,300486,东杰智能,专用机械,617.10
36,603308,应流股份,机械基件,591.93
37,002379,宏桥控股,铝,591.14
38,300475,香农芯创,元器件,589.39
39,000657,中钨高新,小金属,587.91
40,301326,捷邦科技,元器件,586.36
41,605196,华通线缆,电气设备,586.33
42,300972,万辰集团,食品,583.87
43,688629,华丰科技,元器件,582.68
44,300749,顶固集创,家居用品,568.68
45,688656,浩欧博,医疗保健,556.50
46,301183,东田微,元器件,554.95
47,002052,同洲电子,家用电器,552.57
48,002842,翔鹭钨业,小金属,551.42
49,688325,赛微微电,半导体,549.02
50,688227,品高股份,软件服务,533.01
51,300102,乾照光电,半导体,532.14
52,300720,海川智能,电器仪表,531.81
53,300857,协创数据,IT设备,526.33
54,300436,广生堂,化学制药,524.06
55,002364,中恒电气,电气设备,523.09
56,301248,杰创智能,软件服务,518.44
57,688011,新光光电,元器件,513.64
58,300806,斯迪克,塑料,511.59
59,600410,华胜天成,软件服务,506.35
60,000833,粤桂股份,综合类,503.30
61,300731,科创新源,橡胶,499.44
62,603822,ST嘉澳,化工原料,494.77
63,688622,*ST禾信,电器仪表,493.97
64,002046,国机精工,机械基件,491.93
65,301018,申菱环境,专用机械,491.70
66,000533,顺钠股份,电气设备,486.45
67,300718,长盛轴承,机械基件,484.16
68,605376,博迁新材,小金属,479.78
69,688702,盛科通信,半导体,473.04
70,300604,长川科技,半导体,471.32
71,600289,ST信通,软件服务,465.91
72,001309,德明利,半导体,465.18
73,603667,五洲新春,机械基件,461.48
74,300658,延江股份,纺织,461.27
75,002837,英维克,专用机械,457.50
76,002428,云南锗业,小金属,452.41
77,301128,强瑞技术,专用机械,451.57
78,603009,北特科技,汽车配件,448.74
79,000962,东方钽业,小金属,446.85
80,002716,湖南白银,小金属,446.83
81,300085,银之杰,软件服务,446.12
82,301075,多瑞医药,化学制药,443.23
83,300342,天银机电,家用电器,441.36
84,688309,恒誉环保,环境保护,435.56
85,603618,杭电股份,电气设备,435.54
86,300620,光库科技,通信设备,428.12
87,000973,佛塑科技,塑料,422.77
88,001896,豫能控股,火力发电,422.18
89,301285,鸿日达,元器件,421.96
90,300991,创益通,元器件,421.50
91,688081,兴图新科,软件服务,420.41
92,301550,斯菱智驱,汽车配件,419.64
93,300468,四方精创,软件服务,417.46
94,600301,华锡有色,小金属,416.49
95,300499,高澜股份,专用机械,414.89
96,300385,ST雪浪,环境保护,413.79
97,920046,亿能电力,电气设备,413.27
98,002851,麦格米特,电气设备,412.86
99,603663,三祥新材,小金属,410.97
100,688607,康众医疗,医疗保健,410.30
